,NAME,STATE,Homeless 2010,Homeless 2011,Homeless 2012,Homeless 2013,Homeless 2014,Homeless 2015,Homeless 2016,Homeless 2017,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017
37,Oregon,OR,19492,17254,15828,13822,12164,13226,13238,13953,"3,837,532","3,871,728","3,899,118","3,922,908","3,964,106","4,016,918","4,091,404","4,146,592"
38,Pennsylvania,PA,14516,15096,14736,15086,15333,15421,15339,14138,"12,711,158","12,744,583","12,766,827","12,776,621","12,789,101","12,785,759","12,783,538","12,790,447"
39,Rhode Island,RI,1282,1070,1277,1384,1190,1111,1160,1180,"1,053,938","1,053,536","1,054,601","1,055,122","1,056,017","1,056,173","1,057,063","1,056,486"
40,South Carolina,SC,4473,5093,4915,6544,5057,5354,5051,3916,"4,635,656","4,671,422","4,717,112","4,764,153","4,823,793","4,892,253","4,958,235","5,021,219"
41,South Dakota,SD,731,826,859,1094,885,1036,1072,943,"816,165","823,484","833,496","842,270","849,088","853,933","862,890","873,286"
42,Tennessee,TN,10276,9113,9426,9528,9415,9123,8779,8309,"6,355,301","6,397,410","6,451,281","6,493,432","6,540,826","6,590,808","6,645,011","6,708,794"
43,Texas,TX,35121,36911,34052,29615,28495,23678,23122,23548,"25,242,679","25,646,227","26,089,620","26,489,464","26,977,142","27,486,814","27,937,492","28,322,717"
44,Utah,UT,3284,3130,3527,3277,3081,3025,2807,2852,"2,775,334","2,814,216","2,853,467","2,897,927","2,937,399","2,982,497","3,042,613","3,103,118"
45,Virginia,VA,9080,8816,8424,7625,7020,7001,6268,6067,"8,023,680","8,100,469","8,185,229","8,253,053","8,312,076","8,362,907","8,410,946","8,465,207"
46,Vermont,VT,1220,1144,1160,1454,1559,1523,1117,1225,"625,880","626,979","626,063","626,212","625,218","625,197","623,644","624,525"
47,Washington,WA,22878,20439,20504,17760,18442,19419,20827,21112,"6,742,902","6,821,655","6,892,876","6,962,906","7,052,439","7,163,543","7,294,680","7,425,432"
48,Wisconsin,WI,6333,5785,6027,6104,6055,6057,5685,5027,"5,690,479","5,704,755","5,719,855","5,736,952","5,751,974","5,761,406","5,772,958","5,792,051"
49,West Virginia,WV,2264,2211,2410,2240,2013,1835,1387,1309,"1,854,214","1,856,074","1,856,764","1,853,873","1,849,467","1,841,996","1,830,929","1,817,048"
50,Wyoming,WY,579,1038,1813,953,757,798,857,873,"564,483","567,224","576,270","582,123","582,548","585,668","584,290","578,934"
